ticker,adjusted_purchase_volume,estimated_purchase_volume,purchase_speculation,purchase_count,purchase_count_individual,purchase_days_ago,purchase_owner,purchase_confidence,adjusted_sale_volume,estimated_sale_volume,sale_speculation,sale_count,sale_count_individual,sale_days_ago,sale_owner,sale_confidence,date,volume_net,score,price_change
DD,2.0,16001.0,0,2,1,62.5,['Thomas R Carper'],0.26100000000000007,0.0,0.0,0,0,0,-1.0,[],0.0,2013-01-01,16001.0,1.04,1.42
DD,1.0,8000.5,0,1,1,75.0,['Thomas R Carper'],0.26100000000000007,0.0,0.0,0,0,0,-1.0,[],0.0,2013-03-02,8000.5,0.52,1.59
DD,1.0,8000.5,0,1,1,47.0,['Thomas R Carper'],0.41400000000000003,0.0,0.0,0,0,0,-1.0,[],0.0,2013-05-01,8000.5,0.83,1.52
DD,2.0,16001.0,0,2,1,62.0,['Thomas R Carper'],0.5720000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2013-06-30,16001.0,2.29,1.65
DD,1.0,8000.5,0,1,1,77.0,['Thomas R Carper'],0.5720000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2013-08-29,8000.5,1.14,1.47
DD,1.0,8000.5,0,1,1,45.0,['Thomas R Carper'],0.7120000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2013-10-28,8000.5,1.42,1.26
DD,2.0,16001.0,0,2,1,58.0,['Thomas R Carper'],0.8260000000000002,0.0,0.0,0,0,0,-1.0,[],0.0,2013-12-27,16001.0,3.3,1.05
VZ,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,16001.0,0,2,1,49.0,['Susan M Collins'],0.014000000000000012,2014-02-25,-16001.0,-0.08,1.11
JPM,1.0,8000.5,0,1,1,6.0,['Sheldon Whitehouse'],0.10700000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2014-02-25,8000.5,0.43,1.1
DD,1.0,8000.5,0,1,1,71.0,['Thomas R Carper'],0.8260000000000002,0.0,0.0,0,0,0,-1.0,[],0.0,2014-02-25,8000.5,3.3,1.09
CVX,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,16001.0,0,2,1,41.0,['Susan M Collins'],0.014000000000000012,2014-02-25,-16001.0,-0.08,0.98
LBTYA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,16.0,['Susan M Collins'],-0.016999999999999994,2014-04-26,-8000.5,0.06,1.32
JPM,1.0,8000.5,0,1,1,66.0,['Sheldon Whitehouse'],0.10700000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2014-04-26,8000.5,0.43,1.15
VZ,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,16001.0,0,2,1,109.0,['Susan M Collins'],-0.016999999999999994,2014-04-26,-16001.0,0.1,1.14
LBTYK,1.0,8000.5,0,1,1,53.0,['Susan M Collins'],0.125,0.0,0.0,0,0,0,-1.0,[],0.0,2014-04-26,8000.5,0.28,1.32
CVX,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,16001.0,0,2,1,101.0,['Susan M Collins'],-0.016999999999999994,2014-04-26,-16001.0,0.01,0.92
DD,1.0,8000.5,0,1,1,43.0,['Thomas R Carper'],0.928,0.0,0.0,0,0,0,-1.0,[],0.0,2014-04-26,8000.5,3.71,1.09
LBTYA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,76.0,['Susan M Collins'],-0.009999999999999997,2014-06-25,-8000.5,0.04,1.3
AGCO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,6.0,['Susan M Collins'],-0.009999999999999997,2014-06-25,-8000.5,0.04,0.99
LBTYK,1.0,8000.5,0,1,1,113.0,['Susan M Collins'],0.125,0.0,0.0,0,0,0,-1.0,[],0.0,2014-06-25,8000.5,0.44,1.28
DD,2.0,16001.0,0,2,1,57.5,['Thomas R Carper'],1.0290000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2014-06-25,16001.0,6.17,1.04
TCAP,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,6.0,['Susan M Collins'],-0.009999999999999997,2014-06-25,-8000.5,0.04,1.0
AGCO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,66.0,['Susan M Collins'],-0.021999999999999985,2014-08-24,-8000.5,0.09,0.98
BUD,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,32.0,['Susan M Collins'],-0.021999999999999985,2014-08-24,-8000.5,0.09,1.0
ENLC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,32.0,['Susan M Collins'],-0.021999999999999985,2014-08-24,-8000.5,0.09,0.53
OGS,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,32.0,['Susan M Collins'],-0.021999999999999985,2014-08-24,-8000.5,0.09,1.2
DD,1.0,8000.5,0,1,1,72.0,['Thomas R Carper'],1.0290000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2014-08-24,8000.5,4.12,0.79
TCAP,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,66.0,['Susan M Collins'],-0.021999999999999985,2014-08-24,-8000.5,0.09,1.0
BUD,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,92.0,['Susan M Collins'],-0.021999999999999985,2014-10-23,-8000.5,0.09,1.13
ENLC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,92.0,['Susan M Collins'],-0.021999999999999985,2014-10-23,-8000.5,0.09,0.56
OGS,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,92.0,['Susan M Collins'],-0.021999999999999985,2014-10-23,-8000.5,0.09,1.35
COF,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,8.0,['Sheldon Whitehouse'],0.0040000000000000036,2014-10-23,-32500.5,-0.02,1.05
DD,1.0,8000.5,0,1,1,38.0,['Thomas R Carper'],1.114,0.0,0.0,0,0,0,-1.0,[],0.0,2014-10-23,8000.5,4.46,1.09
TOLLX,4.0,32002.0,0,4,1,4.0,['Susan M Collins'],0.9817647058823528,4.0,32002.0,0,4,1,7.0,['Susan M Collins'],0.01571428571428572,2014-12-22,0.0,9.33,0.85
MDDVX,2.0,16001.0,0,2,1,12.0,['Susan M Collins'],0.9817647058823528,0.0,0.0,0,0,0,-1.0,[],0.0,2014-12-22,16001.0,4.37,0.98
BMGAX,6.0,48003.0,0,6,1,12.0,['Susan M Collins'],0.9817647058823528,0.0,0.0,0,0,0,-1.0,[],0.0,2014-12-22,48003.0,11.48,1.06
WASCX,4.0,32002.0,0,4,1,11.0,['Susan M Collins'],0.9817647058823528,0.0,0.0,0,0,0,-1.0,[],0.0,2014-12-22,32002.0,8.12,0.91
KMI,1.0,32500.5,0,1,1,19.0,['Timothy M Kaine'],0.061,0.0,0.0,0,0,0,-1.0,[],0.0,2014-12-22,32500.5,0.13,0.39
COF,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,68.0,['Sheldon Whitehouse'],0.0040000000000000036,2014-12-22,-32500.5,-0.02,0.89
DD,2.0,16001.0,0,2,1,52.5,['Thomas R Carper'],1.245,0.0,0.0,0,0,0,-1.0,[],0.0,2014-12-22,16001.0,6.64,1.17
FCX,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,75000.5,0,1,1,45.0,['John Hoeven'],0.06899999999999999,2015-02-20,-75000.5,-0.12,0.33
PRAA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.5
MDDVX,2.0,16001.0,0,2,1,72.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,16001.0,0.42,0.93
PRA,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.14
WASCX,4.0,32002.0,0,4,1,71.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,32002.0,0.92,0.84
CMRE,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,32500.5,0,1,1,8.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-32500.5,-0.36,0.4
HEI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.87
ALE,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.99
MTD,1.0006534727408514,32500.5,0,1,1,38.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,32500.5,1.37,1.03
UL,1.0,8000.5,0,1,1,38.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,1.37,1.04
DHR,0.0,0.0,0,0,0,-1.0,[],0.0,6.0,97501.5,0,3,1,28.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-97501.5,-0.63,0.99
ITW,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,8.0,['Thomas R Carper'],0.0040000000000000036,2015-02-20,-8000.5,-0.01,0.99
PEB,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.57
CGNX,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.87
NICE,0.0,0.0,0,0,0,-1.0,[],0.0,2.0,16001.0,0,2,1,11.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-16001.0,-0.54,1.02
EVR,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.89
MG,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.14
ADP,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,38.0,['Susan M Collins'],0.14405405405405405,2015-02-20,-8000.5,-0.19,0.99
JJSF,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.11
PRLB,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.91
MNRO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.04
DD,1.0,8000.5,0,1,1,67.0,['Thomas R Carper'],1.1123529411764708,3.0,24001.5,0,3,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-16001.0,0.19,0.99
CHEF,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.75
TTC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.18
AAPL,2.0,16001.0,0,2,2,23.0,"['Susan M Collins', 'Thomas R Carper']",1.1123529411764708,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,16001.0,4.21,0.76
BECN,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.17
IYT,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,0.0,['John F Reed'],0.018999999999999996,2015-02-20,-8000.5,-0.06,0.84
THS,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.99
IART,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.03
KWR,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.85
TCBI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.7
MMM,3.0006534727408516,37532501.0,0,2,1,0.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,37532501.0,6.78,0.96
VLO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,8.0,['Thomas R Carper'],0.0040000000000000036,2015-02-20,-8000.5,-0.01,0.97
ABT,1.0,8000.5,0,1,1,8.0,['Thomas R Carper'],1.1123529411764708,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,2.67,0.83
RRTS,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.46
BERY,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.84
LSTR,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.84
HAL,0.0,0.0,0,0,0,-1.0,[],0.0,8.0,64004.0,0,8,1,0.0,['Susan M Collins'],0.14405405405405405,2015-02-20,-64004.0,-2.56,0.74
AFSI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.92
CASY,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.19
ETN,0.0,0.0,0,0,0,-1.0,[],0.0,9.0,121503.0,0,6,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-121503.0,-0.71,0.8
WAL,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.04
NOG,2.0,65001.0,0,2,1,35.0,['John Hoeven'],0.096,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,65001.0,0.26,0.32
POWI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.84
KMB,0.0,0.0,0,0,0,-1.0,[],0.0,4.0,32002.0,0,4,1,0.0,['Susan M Collins'],0.14405405405405405,2015-02-20,-32002.0,-1.35,1.21
