WARNING | stockmarket.py | line 52 | 2024-06-17 20:11:47,503 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:11:51,752 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:11:58,988 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:12,787 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:17,188 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:19,355 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:21,381 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:25,656 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:28,686 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:32,393 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:35,625 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:37,434 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:39,810 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:41,663 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:45,128 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:47,215 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:50,382 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:12:52,796 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:14,758 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:17,781 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-17'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:25,844 | >>> WARNING: No available date within two weeks for 'TVPT' on '2019-12-30'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:26,121 | >>> WARNING: No available date within two weeks for 'TVPT' on '2020-01-02'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:39,067 | >>> WARNING: No available date within two weeks for 'BIVV' on '2018-05-18'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:44,090 | >>> WARNING: No available date within two weeks for 'ENTL' on '2018-12-31'.
WARNING | stockmarket.py | line 52 | 2024-06-17 20:13:51,207 | >>> WARNING: No available date within two weeks for 'SHPG' on '2019-12-16'.
